Year,Month,Billed Consumption (cu.m.)
2013,0,5976576
2013,1,5596616
2013,2,5557227
2013,3,5768139
2013,4,6057273
2013,5,5781376
2013,6,5487456
2013,7,5716071
2013,8,5780261
2013,9,5754660
2013,10,5951085
2013,11,5446657
2014,0,5899439
2014,1,5555350
2014,2,5643721
2014,3,5605276
2014,4,5756896
2014,5,5714042
2014,6,5761676
2014,7,5804364
2014,8,5778736
2014,9,5738885
2014,10,5810130
2014,11,5646153
2015,0,5949140
2015,1,5702847
2015,2,5782050
2015,3,5940524
2015,4,5807156
2015,5,5837651
2015,6,5821946
2015,7,5958345
2015,8,6149955
2015,9,5883996
2015,10,5972624
2015,11,5894216
2016,0,6240820
2016,1,6068068
2016,2,5976321
2016,3,6268382
2016,4,6227027
2016,5,6210741
2016,6,6145659
2016,7,6249544
2016,8,6331013
2016,9,6230116
2016,10,6072472
2016,11,6067581
2017,0,6233758
2017,1,6033450
2017,2,6060783
2017,3,6193203
2017,4,6215074
2017,5,6334842
2017,6,6467403
2017,7,6392163
2017,8,6565980
2017,9,6573897
2017,10,6530888
2017,11,6398278
2018,0,6674755
2018,1,6481679
2018,2,6514380
2018,3,6527604
2018,4,6768188
2018,5,6687282
2018,6,6554598
2018,7,6741380
2018,8,6899007
2018,9,6630050
2018,10,7026820
2018,11,6641439
2019,0,6824886
2019,1,6456781
2019,2,6349288
2019,3,6726919
2019,4,7204484
2019,5,7050685
2019,6,6899850
2019,7,7099086
2019,8,7124345
2019,9,7187624
2019,10,7327190
2019,11,6883991
2020,0,6942530
2020,1,7127942
2020,2,6923887
2020,3,6981009
2020,4,6987872
2020,5,6930643
2020,6,7299027
2020,7,7395573
2020,8,6925446
2020,9,6985068
2020,10,7040329
2020,11,6724405
2021,0,6890881
2021,1,6553431
2021,2,6531557
2021,3,6780885
2021,4,6934442
2021,5,6308121
2021,6,6710352
2021,7,6711134
2021,8,6692076
2021,9,6695931
2021,10,6552831
2021,11,6693731
2022,0,6827642
2022,1,6373991
2022,2,6464823
2022,3,6724366
2022,4,6788440
2022,5,6741145
2022,6,6813301
2022,7,7008257
2022,8,7157288
2022,9,7004577
2022,10,6963648
2022,11,7033893
2023,0,7133897
2023,1,6520223
2023,2,6893755
2023,3,7032736
2023,4,7014525
2023,5,7267673
2023,6,6985294
2023,7,6890979
2023,8,7193342
2023,9,7140687
2023,10,7304383
2023,11,7587943
2024,0,7606047